dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris,180,changeforest_bs,0.97993200471804,0.0066666666666666,0.0066666666666666,0.0066666666666666,"[0, 50, 100, 150]","[0, 50, 101, 150]",2,0.0330527700134553
iris,180,changekNN_bs,0.97993200471804,0.0066666666666666,0.0066666666666666,0.0066666666666666,"[0, 50, 100, 150]","[0, 50, 101, 150]",2,0.003181357984431
iris,180,ecp,0.97993200471804,0.0066666666666666,0.0066666666666666,0.0066666666666666,"[0, 50, 100, 150]","[0.0, 50.0, 101.0, 150.0]",2,0.4633533550077118
iris,180,multirank,0.960620712981868,0.0066666666666666,0.0133333333333333,0.0133333333333333,"[0, 50, 100, 150]","[0, 50, 101, 148, 150]",3,0.0797542310028802
iris,180,kernseg_rbf,0.97993200471804,0.0066666666666666,0.0066666666666666,0.0066666666666666,"[0, 50, 100, 150]","[0, 50, 101, 150]",2,0.0224637149949558
iris,180,kernseg_linear,0.97993200471804,0.0066666666666666,0.0066666666666666,0.0066666666666666,"[0, 50, 100, 150]","[0, 50, 101, 150]",2,0.0601653569901827
glass,180,changeforest_bs,0.9597502473299606,0.0046728971962616,0.0560747663551401,0.0560747663551401,"[0, 9, 22, 92, 168, 185, 214]","[0, 9, 22, 91, 168, 185, 197, 214]",6,0.0852511289995163
glass,180,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 9, 22, 92, 168, 185, 214]","[0, 9, 22, 92, 168, 185, 214]",5,0.0076628699898719
glass,180,ecp,0.3713550387257395,0.3271028037383177,0.0186915887850467,0.3271028037383177,"[0, 9, 22, 92, 168, 185, 214]","[0.0, 11.0, 13.0, 22.0, 185.0, 214.0]",4,1.2766121159947943
glass,180,multirank,0.4169773720660348,0.0607476635514018,0.1588785046728972,0.1588785046728972,"[0, 9, 22, 92, 168, 185, 214]","[0, 8, 9, 11, 13, 14, 15, 22, 44, 92, 107, 108, 116, 118, 134, 136, 144, 146, 149, 155, 185, 198, 201, 211, 212, 214]",24,0.1547120909963268
glass,180,kernseg_rbf,0.8338256736237476,0.0794392523364486,0.0046728971962616,0.0794392523364486,"[0, 9, 22, 92, 168, 185, 214]","[0, 22, 91, 185, 214]",3,0.0447017499827779
glass,180,kernseg_linear,0.3938399052570031,0.02803738317757,0.1635514018691588,0.1635514018691588,"[0, 9, 22, 92, 168, 185, 214]","[0, 2, 5, 7, 9, 11, 13, 15, 20, 22, 31, 39, 92, 107, 109, 116, 118, 125, 127, 134, 136, 138, 140, 144, 146, 149, 153, 155, 158, 162, 185, 188, 190, 198, 200, 202, 204, 206, 211, 214]",38,0.112361335020978
wine,180,changeforest_bs,0.9993411966760032,0.0003095017022593,0.0003095017022593,0.0003095017022593,"[0, 193, 2331, 5167, 5383, 6462]","[0, 193, 2331, 5169, 5383, 6462]",4,0.8284957209834829
wine,180,changekNN_bs,0.8717469698824655,0.003868771278242,0.120860414732281,0.120860414732281,"[0, 193, 2331, 5167, 5383, 6462]","[0, 193, 1550, 2331, 5142, 5208, 5383, 6462]",6,4.613487663998967
wine,180,ecp,0.9944850169734284,0.0010832559579077,0.0010832559579077,0.0010832559579077,"[0, 193, 2331, 5167, 5383, 6462]","[0.0, 193.0, 2337.0, 5174.0, 5383.0, 6462.0]",4,1208.003184449015
wine,180,multirank,0.9989233363885917,0.000464252553389,0.000464252553389,0.000464252553389,"[0, 193, 2331, 5167, 5383, 6462]","[0, 193, 2331, 5169, 5380, 6462]",4,95.96222084501642
wine,180,kernseg_rbf,0.9970225327748944,0.0010832559579077,0.0010832559579077,0.0010832559579077,"[0, 193, 2331, 5167, 5383, 6462]","[0, 193, 2330, 5174, 5384, 6462]",4,7.463132698001573
wine,180,kernseg_linear,0.6959355490388659,0.0114515629835964,0.1532033426183844,0.1532033426183844,"[0, 193, 2331, 5167, 5383, 6462]","[0, 193, 291, 293, 447, 449, 1152, 1154, 1181, 1183, 2330, 4688, 4690, 4739, 4741, 5241, 5243, 5383, 6462]",17,4.520246858999599
breast-cancer,180,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 241, 699]","[0, 241, 699]",1,0.0648512589978054
