dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,29,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0075959078967571
iris-no-change,29,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0051229782402515
iris-no-change,29,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0005462169647216
iris-no-change,29,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0003233216702938
iris-no-change,29,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.0399972908198833
iris-no-change,29,multirank,0.0,0.0,0.2,0.2,"[0, 50]","[0, 10, 50]",1,0.027906147763133
iris-no-change,29,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0026440378278493
glass-no-change,29,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0094646904617547
glass-no-change,29,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0095662120729684
glass-no-change,29,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0010969638824462
glass-no-change,29,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0006365962326526
glass-no-change,29,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.0512251537293195
glass-no-change,29,multirank,0.0,0.0,0.0789473684210526,0.0789473684210526,"[0, 76]","[0, 70, 76]",1,0.0346419606357812
glass-no-change,29,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0084535330533981
wine-no-change,29,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1197859272360801
wine-no-change,29,changeforest_bs__model_selection_alpha=0.05,0.0,0.0,0.0119887165021156,0.0119887165021156,"[0, 2836]","[0, 2802, 2836]",1,0.2165076360106468
wine-no-change,29,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.9791850056499244
wine-no-change,29,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.9896012227982284
wine-no-change,29,ecp,0.0,0.0,0.466854724964739,0.466854724964739,"[0, 2836]","[0.0, 1269.0, 1324.0, 2836.0]",2,94.9224724881351
wine-no-change,29,multirank,0.0,0.0,0.4665021156558533,0.4665021156558533,"[0, 2836]","[0, 153, 154, 174, 261, 262, 315, 316, 584, 585, 678, 679, 756, 774, 779, 966, 968, 1177, 1190, 1323, 1725, 1726, 1763, 1820, 1829, 2286, 2288, 2434, 2435, 2494, 2498, 2801, 2803, 2804, 2836]",33,14.60405465774238
wine-no-change,29,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.9835049603134394
breast-cancer-no-change,29,changeforest_bs,0.0,0.0,0.4716157205240174,0.4716157205240174,"[0, 458]","[0, 216, 458]",1,0.0476683881133794
breast-cancer-no-change,29,changeforest_bs__model_selection_alpha=0.05,0.0,0.0,0.4716157205240174,0.4716157205240174,"[0, 458]","[0, 216, 458]",1,0.0424996074289083
breast-cancer-no-change,29,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0167730133980512
breast-cancer-no-change,29,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0151126477867364
breast-cancer-no-change,29,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,0.916297098621726
breast-cancer-no-change,29,multirank,0.0,0.0,0.4956331877729257,0.4956331877729257,"[0, 458]","[0, 26, 27, 29, 87, 88, 147, 148, 150, 151, 158, 159, 169, 170, 231, 232, 273, 297, 308, 353, 354, 420, 421, 458]",22,0.4947522450238466
breast-cancer-no-change,29,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0524218548089265
abalone-no-change,29,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0429457258433103
abalone-no-change,29,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0445111133158206
abalone-no-change,29,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0465349443256855
abalone-no-change,29,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0462886244058609
abalone-no-change,29,ecp,0.0,0.0,0.2177068214804063,0.2177068214804063,"[0, 689]","[0.0, 539.0, 564.0, 689.0]",2,5.058045322075486
abalone-no-change,29,multirank,0.0,0.0,0.4499274310595065,0.4499274310595065,"[0, 689]","[0, 100, 101, 161, 162, 169, 170, 197, 198, 253, 286, 287, 309, 310, 422, 423, 461, 462, 518, 519, 656, 657, 689]",21,1.005243981257081
