dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,1267,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0057529332116246
iris-no-change,1267,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0049125091172754
iris-no-change,1267,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0003696670755743
iris-no-change,1267,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0005659046582877
iris-no-change,1267,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.0370184360072016
iris-no-change,1267,multirank,0.0,0.0,0.24,0.24,"[0, 50]","[0, 12, 50]",1,0.0249547250568866
iris-no-change,1267,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0028381361626088
glass-no-change,1267,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0102483546361327
glass-no-change,1267,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.00844471110031
glass-no-change,1267,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0007580444216728
glass-no-change,1267,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.000786832999438
glass-no-change,1267,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.060277733951807
glass-no-change,1267,multirank,0.0,0.0,0.0263157894736842,0.0263157894736842,"[0, 76]","[0, 74, 76]",1,0.0369198857806623
glass-no-change,1267,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0057934233918786
wine-no-change,1267,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1332880230620503
wine-no-change,1267,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1127556129358708
wine-no-change,1267,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0504101417027414
wine-no-change,1267,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0339965471066537
wine-no-change,1267,ecp,1.0,0.0,0.0,0.0,"[0, 2836]","[0.0, 2836.0]",0,50.239206416066736
wine-no-change,1267,multirank,0.0,0.0,0.4933004231311707,0.4933004231311707,"[0, 2836]","[0, 167, 168, 176, 339, 369, 370, 416, 462, 465, 482, 503, 505, 512, 710, 735, 849, 851, 852, 1192, 1193, 1437, 1462, 1466, 1622, 1623, 1805, 1806, 1945, 1946, 2312, 2315, 2474, 2476, 2481, 2617, 2618, 2744, 2745, 2835, 2836]",39,16.495635381899774
wine-no-change,1267,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.090676040854305
breast-cancer-no-change,1267,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0272372956387698
breast-cancer-no-change,1267,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0308349458500742
breast-cancer-no-change,1267,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0186154670082032
breast-cancer-no-change,1267,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0167734720744192
breast-cancer-no-change,1267,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,1.0484067383222282
breast-cancer-no-change,1267,multirank,0.0,0.0,0.5,0.5,"[0, 458]","[0, 16, 43, 44, 53, 54, 66, 67, 71, 73, 147, 149, 213, 229, 230, 259, 260, 268, 270, 274, 275, 276, 277, 283, 284, 316, 319, 376, 377, 413, 414, 458]",30,0.5549042569473386
breast-cancer-no-change,1267,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0600589560344815
abalone-no-change,1267,changeforest_bs,0.0,0.0,0.2075471698113207,0.2075471698113207,"[0, 689]","[0, 143, 689]",1,0.0824499018490314
abalone-no-change,1267,changeforest_bs__model_selection_alpha=0.05,0.0,0.0,0.2075471698113207,0.2075471698113207,"[0, 689]","[0, 143, 689]",1,0.0893981549888849
abalone-no-change,1267,changekNN_bs,0.0,0.0,0.274310595065312,0.274310595065312,"[0, 689]","[0, 189, 689]",1,0.0535666192881763
abalone-no-change,1267,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.274310595065312,0.274310595065312,"[0, 689]","[0, 189, 689]",1,0.0541332052089273
abalone-no-change,1267,ecp,1.0,0.0,0.0,0.0,"[0, 689]","[0.0, 689.0]",0,2.196840045042336
abalone-no-change,1267,multirank,0.0,0.0,0.4992743105950653,0.4992743105950653,"[0, 689]","[0, 52, 53, 79, 80, 110, 167, 168, 273, 274, 330, 331, 332, 345, 346, 362, 363, 458, 459, 509, 522, 525, 533, 534, 610, 611, 689]",25,1.0721942326053977
abalone-no-change,1267,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0861913012340664
dry-beans-no-change,1267,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.2465529632754624
dry-beans-no-change,1267,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.1872255899943411
dry-beans-no-change,1267,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.769523029215634
dry-beans-no-change,1267,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.784182728268206
dry-beans-no-change,1267,ecp,1.0,0.0,0.0,0.0,"[0, 3546]","[0.0, 3546.0]",0,89.16834321478382
dry-beans-no-change,1267,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.7426573373377323
change_in_mean-no-change,1267,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0167258218862116
change_in_mean-no-change,1267,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0175555949099361
change_in_mean-no-change,1267,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0042276750318706
change_in_mean-no-change,1267,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.005979130975902
change_in_mean-no-change,1267,ecp,1.0,0.0,0.0,0.0,"[0, 200]","[0.0, 200.0]",0,0.2224049284122884
change_in_mean-no-change,1267,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1326321167871356
change_in_mean-no-change,1267,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0363046107813715
change_in_covariance-no-change,1267,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0156920296140015
change_in_covariance-no-change,1267,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0141494539566338
change_in_covariance-no-change,1267,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0050642481073737
change_in_covariance-no-change,1267,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0037049897946417
change_in_covariance-no-change,1267,ecp,0.0,0.0,0.08,0.08,"[0, 200]","[0.0, 12.0, 16.0, 200.0]",2,0.5900224200449884
change_in_covariance-no-change,1267,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1425990760326385
change_in_covariance-no-change,1267,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.040501176379621
dirichlet-no-change,1267,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.023587736301124
