dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,403,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.006200211122632
iris-no-change,403,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0052567683160305
iris-no-change,403,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0003766678273677
iris-no-change,403,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0006051063537597
iris-no-change,403,ecp,0.0,0.0,0.26,0.26,"[0, 50]","[0.0, 37.0, 50.0]",1,0.0790055636316537
iris-no-change,403,multirank,0.0,0.0,0.3,0.3,"[0, 50]","[0, 35, 50]",1,0.0283400360494852
iris-no-change,403,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0048523265868425
glass-no-change,403,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0096807070076465
glass-no-change,403,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0117012858390808
glass-no-change,403,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0011010728776454
glass-no-change,403,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.000744704157114
glass-no-change,403,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.0552495550364255
glass-no-change,403,multirank,0.0,0.0,0.0657894736842105,0.0657894736842105,"[0, 76]","[0, 5, 76]",1,0.0418574828654527
glass-no-change,403,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.00646230019629
wine-no-change,403,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.154091602191329
wine-no-change,403,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1485773064196109
wine-no-change,403,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.1423045955598354
wine-no-change,403,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.1422334052622318
wine-no-change,403,ecp,1.0,0.0,0.0,0.0,"[0, 2836]","[0.0, 2836.0]",0,61.40715363621712
wine-no-change,403,multirank,0.0,0.0,0.445345557122708,0.445345557122708,"[0, 2836]","[0, 191, 193, 301, 303, 316, 317, 495, 498, 518, 588, 728, 729, 730, 783, 789, 809, 816, 849, 850, 877, 1095, 1096, 1132, 1137, 1573, 1574, 2161, 2162, 2432, 2497, 2501, 2597, 2598, 2699, 2712, 2836]",35,16.54803505539894
wine-no-change,403,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.154963554814458
breast-cancer-no-change,403,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0235844776034355
breast-cancer-no-change,403,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0234234407544136
breast-cancer-no-change,403,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0180689841508865
breast-cancer-no-change,403,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.445414847161572,0.445414847161572,"[0, 458]","[0, 204, 458]",1,0.0200749915093183
breast-cancer-no-change,403,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,1.0986413285136225
breast-cancer-no-change,403,multirank,0.0,0.0,0.4934497816593886,0.4934497816593886,"[0, 458]","[0, 2, 12, 13, 75, 79, 80, 95, 96, 107, 109, 130, 132, 165, 167, 168, 174, 181, 182, 232, 236, 261, 262, 264, 265, 287, 288, 292, 293, 323, 324, 394, 395, 396, 456, 458]",34,0.5635646563023329
breast-cancer-no-change,403,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0603764224797487
