dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,288,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0051709618419408
iris-no-change,288,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0047069229185581
iris-no-change,288,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0005894321948289
iris-no-change,288,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0003592483699321
iris-no-change,288,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.0357241462916135
iris-no-change,288,multirank,0.0,0.0,0.26,0.26,"[0, 50]","[0, 13, 50]",1,0.0246350727975368
iris-no-change,288,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0028909817337989
glass-no-change,288,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0080418083816766
glass-no-change,288,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0097615271806716
glass-no-change,288,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.001155462116003
glass-no-change,288,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.000693704932928
glass-no-change,288,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.0516173560172319
glass-no-change,288,multirank,0.0,0.0,0.0131578947368421,0.0131578947368421,"[0, 76]","[0, 75, 76]",1,0.0378833413124084
glass-no-change,288,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0059601739048957
wine-no-change,288,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1553686428815126
wine-no-change,288,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1246469151228666
wine-no-change,288,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0204702727496624
wine-no-change,288,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.9923842176795006
wine-no-change,288,ecp,1.0,0.0,0.0,0.0,"[0, 2836]","[0.0, 2836.0]",0,48.64474489539862
wine-no-change,288,multirank,0.0,0.0,0.4714386459802538,0.4714386459802538,"[0, 2836]","[0, 35, 38, 55, 56, 204, 205, 482, 484, 516, 517, 858, 863, 950, 954, 1256, 1257, 1293, 1301, 1499, 1500, 1596, 1599, 1612, 1613, 2045, 2046, 2291, 2292, 2318, 2748, 2760, 2764, 2836]",32,15.270098194479942
wine-no-change,288,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.1909542698413134
breast-cancer-no-change,288,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0212115086615085
breast-cancer-no-change,288,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0246995724737644
breast-cancer-no-change,288,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0171368177980184
breast-cancer-no-change,288,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.017196049913764
breast-cancer-no-change,288,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,0.962020680308342
breast-cancer-no-change,288,multirank,0.0,0.0,0.4475982532751091,0.4475982532751091,"[0, 458]","[0, 53, 56, 79, 80, 85, 86, 91, 92, 98, 99, 129, 130, 195, 196, 197, 198, 203, 204, 205, 366, 367, 392, 393, 395, 457, 458]",25,0.5349224787205458
breast-cancer-no-change,288,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0572561342269182
abalone-no-change,288,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0424507446587085
abalone-no-change,288,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0349910929799079
abalone-no-change,288,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0499252788722515
abalone-no-change,288,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.050173407420516
abalone-no-change,288,ecp,1.0,0.0,0.0,0.0,"[0, 689]","[0.0, 689.0]",0,2.194960797205568
abalone-no-change,288,multirank,0.0,0.0,0.4847605224963715,0.4847605224963715,"[0, 689]","[0, 13, 14, 112, 113, 151, 152, 198, 199, 200, 282, 283, 355, 356, 366, 367, 467, 470, 471, 604, 605, 656, 657, 672, 689]",23,1.0395943969488144
abalone-no-change,288,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0863618310540914
dry-beans-no-change,288,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.2004960384219885
dry-beans-no-change,288,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.2144081313163042
dry-beans-no-change,288,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.726298090070486
dry-beans-no-change,288,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.7962197735905647
dry-beans-no-change,288,ecp,1.0,0.0,0.0,0.0,"[0, 3546]","[0.0, 3546.0]",0,79.40886639803648
dry-beans-no-change,288,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.6791293676942587
change_in_mean-no-change,288,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0153333116322755
change_in_mean-no-change,288,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0160879082977771
change_in_mean-no-change,288,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0045219045132398
change_in_mean-no-change,288,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0035153720527887
change_in_mean-no-change,288,ecp,1.0,0.0,0.0,0.0,"[0, 200]","[0.0, 200.0]",0,0.1999901514500379
change_in_mean-no-change,288,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1240153033286333
change_in_mean-no-change,288,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0339566525071859
change_in_covariance-no-change,288,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0149212852120399
change_in_covariance-no-change,288,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0176820363849401
change_in_covariance-no-change,288,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0052067600190639
change_in_covariance-no-change,288,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0035473145544528
change_in_covariance-no-change,288,ecp,1.0,0.0,0.0,0.0,"[0, 200]","[0.0, 200.0]",0,0.2090463787317276
change_in_covariance-no-change,288,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1240407917648553
change_in_covariance-no-change,288,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0352485999464988
dirichlet-no-change,288,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0226406566798686
dirichlet-no-change,288,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.022907055914402
