dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,824,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0066624758765101
iris-no-change,824,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0055107371881604
iris-no-change,824,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0003341371193528
iris-no-change,824,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0003461763262748
iris-no-change,824,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.035570116713643
iris-no-change,824,multirank,0.0,0.0,0.02,0.02,"[0, 50]","[0, 49, 50]",1,0.0278981402516365
iris-no-change,824,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0028787124902009
glass-no-change,824,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0097288060933351
glass-no-change,824,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0086924554780125
glass-no-change,824,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0006962129846215
glass-no-change,824,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0006739730015397
glass-no-change,824,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.0503378938883543
glass-no-change,824,multirank,0.0,0.0,0.0263157894736842,0.0263157894736842,"[0, 76]","[0, 2, 76]",1,0.035912093706429
glass-no-change,824,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0057137943804264
wine-no-change,824,changeforest_bs,0.0,0.0,0.1840620592383638,0.1840620592383638,"[0, 2836]","[0, 2314, 2836]",1,0.2674135873094201
wine-no-change,824,changeforest_bs__model_selection_alpha=0.05,0.0,0.0,0.1840620592383638,0.1840620592383638,"[0, 2836]","[0, 2314, 2836]",1,0.2640638602897525
wine-no-change,824,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0265878373757005
wine-no-change,824,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.014382814988494
wine-no-change,824,ecp,0.0,0.0,0.2831452750352609,0.2831452750352609,"[0, 2836]","[0.0, 287.0, 323.0, 2033.0, 2836.0]",3,150.12347180303186
wine-no-change,824,multirank,0.0,0.0,0.4647390691114245,0.4647390691114245,"[0, 2836]","[0, 135, 136, 287, 312, 317, 318, 350, 351, 709, 718, 719, 777, 813, 850, 851, 854, 1216, 1317, 1318, 1600, 1602, 1639, 1796, 1797, 2300, 2302, 2511, 2512, 2675, 2682, 2836]",30,15.380504013039172
wine-no-change,824,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0175036238506436
breast-cancer-no-change,824,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0183985531330108
breast-cancer-no-change,824,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0270727286115288
breast-cancer-no-change,824,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0156850991770625
breast-cancer-no-change,824,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0155052710324525
breast-cancer-no-change,824,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,0.9937522429972888
breast-cancer-no-change,824,multirank,0.0,0.0,0.4213973799126637,0.4213973799126637,"[0, 458]","[0, 19, 22, 67, 68, 79, 80, 155, 158, 159, 161, 163, 265, 266, 270, 271, 328, 329, 330, 331, 378, 380, 382, 403, 404, 424, 425, 458]",26,0.5212204353883862
breast-cancer-no-change,824,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0533220749348402
