dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,631,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0094289537519216
iris-no-change,631,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0071896947920322
iris-no-change,631,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0004067067056894
iris-no-change,631,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0003744475543498
iris-no-change,631,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.0492823477834463
iris-no-change,631,multirank,0.0,0.0,0.04,0.04,"[0, 50]","[0, 48, 50]",1,0.0253275521099567
iris-no-change,631,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0030615907162427
glass-no-change,631,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0170234069228172
glass-no-change,631,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.021315798163414
glass-no-change,631,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0007497128099203
glass-no-change,631,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0007169730961322
glass-no-change,631,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.0565092433243989
glass-no-change,631,multirank,0.0,0.0,0.0394736842105263,0.0394736842105263,"[0, 76]","[0, 3, 76]",1,0.0381989665329456
glass-no-change,631,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0060751754790544
wine-no-change,631,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1741466857492923
wine-no-change,631,changeforest_bs__model_selection_alpha=0.05,0.0,0.0,0.0105782792665726,0.0105782792665726,"[0, 2836]","[0, 2806, 2836]",1,0.3834866546094417
wine-no-change,631,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0598337408155205
wine-no-change,631,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0704332366585732
wine-no-change,631,ecp,0.0,0.0,0.4192524682651622,0.4192524682651622,"[0, 2836]","[0.0, 1128.0, 1189.0, 2836.0]",2,128.13315953314304
wine-no-change,631,multirank,0.0,0.0,0.4862482369534556,0.4862482369534556,"[0, 2836]","[0, 114, 121, 174, 176, 184, 788, 790, 1000, 1001, 1100, 1111, 1185, 1275, 1301, 1372, 1457, 1465, 1795, 1796, 2155, 2156, 2171, 2200, 2201, 2209, 2254, 2281, 2282, 2500, 2501, 2513, 2581, 2589, 2703, 2704, 2836]",35,15.358115695416927
wine-no-change,631,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0318951401859522
breast-cancer-no-change,631,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0490669272840023
breast-cancer-no-change,631,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0454768612980842
breast-cancer-no-change,631,changekNN_bs,0.0,0.0,0.4606986899563319,0.4606986899563319,"[0, 458]","[0, 151, 211, 263, 315, 339, 458]",5,0.0237535461783409
breast-cancer-no-change,631,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.4606986899563319,0.4606986899563319,"[0, 458]","[0, 151, 211, 263, 315, 339, 458]",5,0.0236286874860525
breast-cancer-no-change,631,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,1.1779543850570915
