dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,1312,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0055832730140537
iris-no-change,1312,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0056997609790414
iris-no-change,1312,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0005992759834043
iris-no-change,1312,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0003945569624193
iris-no-change,1312,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.03739419701742
iris-no-change,1312,multirank,0.0,0.0,0.04,0.04,"[0, 50]","[0, 48, 50]",1,0.0252542299567721
iris-no-change,1312,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0028789200005121
glass-no-change,1312,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0107312979525886
glass-no-change,1312,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0121377289760857
glass-no-change,1312,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0011323029757477
glass-no-change,1312,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.000709794985596
glass-no-change,1312,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.0543599730008281
glass-no-change,1312,multirank,0.0,0.0,0.4342105263157895,0.4342105263157895,"[0, 76]","[0, 43, 76]",1,0.0418388879625126
glass-no-change,1312,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.006026400020346
wine-no-change,1312,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1176603369531221
wine-no-change,1312,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1276493290206417
wine-no-change,1312,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0678408989915624
wine-no-change,1312,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0723345190053806
wine-no-change,1312,ecp,1.0,0.0,0.0,0.0,"[0, 2836]","[0.0, 2836.0]",0,61.97280230204342
wine-no-change,1312,multirank,0.0,0.0,0.4710860366713681,0.4710860366713681,"[0, 2836]","[0, 305, 306, 876, 877, 952, 980, 1032, 1052, 1136, 1138, 1240, 1261, 1500, 1501, 1918, 1920, 2052, 2054, 2176, 2185, 2397, 2416, 2502, 2503, 2546, 2551, 2552, 2571, 2572, 2787, 2788, 2809, 2811, 2836]",33,16.763758676999714
wine-no-change,1312,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0868956579943188
breast-cancer-no-change,1312,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.027355806028936
breast-cancer-no-change,1312,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0294142519705928
breast-cancer-no-change,1312,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0161603009910322
breast-cancer-no-change,1312,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0161621309816837
