dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,871,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0044555366039276
iris-no-change,871,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0044259577989578
iris-no-change,871,changekNN_bs,0.0,0.0,0.1,0.1,"[0, 50]","[0, 5, 50]",1,0.0010002516210079
iris-no-change,871,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.1,0.1,"[0, 50]","[0, 5, 50]",1,0.0005773743614554
iris-no-change,871,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.035556586459279
iris-no-change,871,multirank,0.0,0.0,0.04,0.04,"[0, 50]","[0, 2, 50]",1,0.0237900307402014
iris-no-change,871,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0027079740539193
glass-no-change,871,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0099958134815096
glass-no-change,871,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0105132488533854
glass-no-change,871,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0011544488370418
glass-no-change,871,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0006711734458804
glass-no-change,871,ecp,0.0,0.0,0.4473684210526316,0.4473684210526316,"[0, 76]","[0.0, 32.0, 34.0, 76.0]",2,0.1261641839519143
glass-no-change,871,multirank,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.034983854740858
glass-no-change,871,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.00551188737154
wine-no-change,871,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1628215415403247
wine-no-change,871,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1337345913052559
wine-no-change,871,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.989786901511252
wine-no-change,871,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.9909619204699992
wine-no-change,871,ecp,1.0,0.0,0.0,0.0,"[0, 2836]","[0.0, 2836.0]",0,53.81152641866356
wine-no-change,871,multirank,0.0,0.0,0.4414668547249647,0.4414668547249647,"[0, 2836]","[0, 68, 69, 97, 208, 209, 419, 420, 556, 559, 695, 697, 864, 866, 899, 998, 1171, 1252, 1962, 1963, 2083, 2085, 2102, 2103, 2147, 2247, 2248, 2255, 2358, 2359, 2836]",29,15.029719742015004
wine-no-change,871,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0351729644462466
breast-cancer-no-change,871,changeforest_bs,0.0,0.0,0.3755458515283842,0.3755458515283842,"[0, 458]","[0, 286, 458]",1,0.0462886337190866
breast-cancer-no-change,871,changeforest_bs__model_selection_alpha=0.05,0.0,0.0,0.3755458515283842,0.3755458515283842,"[0, 458]","[0, 286, 458]",1,0.054398494772613
breast-cancer-no-change,871,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0165488608181476
breast-cancer-no-change,871,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.0174672489082969,0.0174672489082969,"[0, 458]","[0, 450, 458]",1,0.0213855244219303
breast-cancer-no-change,871,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,1.004115702584386
breast-cancer-no-change,871,multirank,0.0,0.0,0.4803493449781659,0.4803493449781659,"[0, 458]","[0, 94, 96, 135, 136, 152, 153, 203, 204, 211, 212, 217, 219, 220, 279, 280, 306, 307, 308, 350, 351, 366, 367, 368, 369, 393, 395, 396, 454, 455, 458]",29,0.5198020506650209
breast-cancer-no-change,871,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0541281178593635
abalone-no-change,871,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0459090676158666
abalone-no-change,871,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0444706911221146
abalone-no-change,871,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0474663721397519
abalone-no-change,871,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0471809450536966
abalone-no-change,871,ecp,1.0,0.0,0.0,0.0,"[0, 689]","[0.0, 689.0]",0,2.1441713869571686
abalone-no-change,871,multirank,0.0,0.0,0.4891146589259796,0.4891146589259796,"[0, 689]","[0, 138, 139, 314, 315, 352, 353, 468, 469, 511, 512, 515, 516, 522, 523, 527, 528, 557, 558, 611, 612, 681, 682, 689]",22,1.0521568609401584
abalone-no-change,871,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0830574296414852
dry-beans-no-change,871,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.2306884573772549
dry-beans-no-change,871,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.1996013466268777
dry-beans-no-change,871,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.7108934223651886
dry-beans-no-change,871,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.7085708435624838
dry-beans-no-change,871,ecp,1.0,0.0,0.0,0.0,"[0, 3546]","[0.0, 3546.0]",0,78.24930195882916
dry-beans-no-change,871,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.660657176747918
change_in_mean-no-change,871,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0154459411278367
change_in_mean-no-change,871,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0160438856109976
change_in_mean-no-change,871,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0042893588542938
change_in_mean-no-change,871,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0044794362038373
change_in_mean-no-change,871,ecp,1.0,0.0,0.0,0.0,"[0, 200]","[0.0, 200.0]",0,0.2118793483823537
change_in_mean-no-change,871,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1275497796013951
change_in_mean-no-change,871,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0348123544827103
change_in_covariance-no-change,871,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0136987278237938
change_in_covariance-no-change,871,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0188558176159858
change_in_covariance-no-change,871,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0037246439605951
change_in_covariance-no-change,871,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0035651847720146
change_in_covariance-no-change,871,ecp,1.0,0.0,0.0,0.0,"[0, 200]","[0.0, 200.0]",0,0.2168113905936479
change_in_covariance-no-change,871,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1258412571623921
change_in_covariance-no-change,871,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0346526158973574
dirichlet-no-change,871,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0287698227912187
dirichlet-no-change,871,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0329273529350757
dirichlet-no-change,871,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0028742020949721
dirichlet-no-change,871,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.002325577661395
dirichlet-no-change,871,ecp,1.0,0.0,0.0,0.0,"[0, 150]","[0.0, 150.0]",0,0.1198785444721579
dirichlet-no-change,871,multirank,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0807991102337837
dirichlet-no-change,871,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.019911028444767
iris-no-change,871,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,2.541020512580872e-05
glass-no-change,871,change_in_mean_bs,0.0,0.0,0.4473684210526316,0.4473684210526316,"[0, 76]","[0, 1, 2, 32, 34, 65, 66, 70, 76]",7,4.420056939125061e-05
wine-no-change,871,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.0001371381804347
breast-cancer-no-change,871,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,4.1379593312740326e-05
abalone-no-change,871,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,5.35203143954277e-05
dry-beans-no-change,871,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.0002094684168696
change_in_mean-no-change,871,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,3.258977085351944e-05
change_in_covariance-no-change,871,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,2.9060058295726776e-05
dirichlet-no-change,871,change_in_mean_bs,0.0,0.0,0.4933333333333333,0.4933333333333333,"[0, 150]","[0, 2, 5, 8, 11, 14, 17, 20, 22, 26, 28, 32, 35, 37, 39, 42, 45, 47, 50, 54, 57, 59, 63, 65, 68, 71, 74, 77, 81, 84, 87, 90, 94, 97, 100, 102, 106, 109, 112, 115, 117, 121, 124, 126, 128, 131, 134, 136, 138, 141, 143, 147, 150]",51,0.0001135477796196
iris-no-change,871,decon,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,1.3549205856397748
iris-no-change,871,mnwbs_changepoints,0.0,0.0,0.48,0.48,"[0, 50]","[0, 24.0, 50]",1,12.187068763189018
glass-no-change,871,decon,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,1.328054655343294
glass-no-change,871,mnwbs_changepoints,0.0,0.0,0.4473684210526316,0.4473684210526316,"[0, 76]","[0, 34.0, 76]",1,24.62455269601196
wine-no-change,871,decon,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,222.5725021380931
breast-cancer-no-change,871,decon,0.0,0.0,0.4541484716157205,0.4541484716157205,"[0, 458]","[0, 250.0, 303.0, 331.0, 458]",3,7.710904805921018
breast-cancer-no-change,871,mnwbs_changepoints,0.0,0.0,0.3427947598253275,0.3427947598253275,"[0, 458]","[0, 301.0, 458]",1,1093.609284487553
abalone-no-change,871,decon,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,14.741673490963876
dry-beans-no-change,871,decon,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,345.5144717954099
change_in_mean-no-change,871,decon,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,2.632942575030029
change_in_mean-no-change,871,mnwbs_changepoints,0.0,0.0,0.145,0.145,"[0, 200]","[0, 29.0, 200]",1,216.08284144569188
change_in_covariance-no-change,871,decon,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,2.6054383544251323
change_in_covariance-no-change,871,mnwbs_changepoints,0.0,0.0,0.145,0.145,"[0, 200]","[0, 29.0, 200]",1,221.47173007950187
dirichlet-no-change,871,decon,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,2.3054542941972613
dirichlet-no-change,871,mnwbs_changepoints,0.0,0.0,0.24,0.24,"[0, 150]","[0, 114.0, 150]",1,585.8023881241679
