dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,724,changeforest_bs,0.0,0.0,0.12,0.12,"[0, 50]","[0, 6, 50]",1,0.009136326611042
iris-no-change,724,changeforest_bs__model_selection_alpha=0.05,0.0,0.0,0.12,0.12,"[0, 50]","[0, 6, 50]",1,0.0096429139375686
iris-no-change,724,changekNN_bs,0.0,0.0,0.04,0.04,"[0, 50]","[0, 2, 50]",1,0.0009653363376855
iris-no-change,724,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.04,0.04,"[0, 50]","[0, 2, 50]",1,0.000630185008049
iris-no-change,724,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.0353401582688093
iris-no-change,724,multirank,0.0,0.0,0.04,0.04,"[0, 50]","[0, 48, 50]",1,0.0260901190340518
iris-no-change,724,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0029691830277442
glass-no-change,724,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0083712805062532
glass-no-change,724,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0087331980466842
glass-no-change,724,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0007236059755086
glass-no-change,724,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0007024761289358
glass-no-change,724,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.0534775126725435
glass-no-change,724,multirank,0.0,0.0,0.0921052631578947,0.0921052631578947,"[0, 76]","[0, 7, 76]",1,0.0378327909857034
glass-no-change,724,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0059393681585788
wine-no-change,724,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1145544722676277
wine-no-change,724,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1043833699077367
wine-no-change,724,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0763669069856403
wine-no-change,724,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.0398448519040902,0.0398448519040902,"[0, 2836]","[0, 29, 76, 113, 2836]",3,1.1229402106255293
wine-no-change,724,ecp,1.0,0.0,0.0,0.0,"[0, 2836]","[0.0, 2836.0]",0,47.11819643713534
wine-no-change,724,multirank,0.0,0.0,0.4830747531734838,0.4830747531734838,"[0, 2836]","[0, 170, 176, 1029, 1030, 1182, 1205, 1206, 1259, 1260, 1299, 1300, 1302, 1320, 1363, 1370, 1591, 1592, 1607, 1820, 1821, 2413, 2414, 2470, 2471, 2750, 2752, 2836]",26,15.380506660789251
wine-no-change,724,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.0974630657583475
breast-cancer-no-change,724,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0209386479109525
breast-cancer-no-change,724,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0227427799254655
breast-cancer-no-change,724,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0173284690827131
breast-cancer-no-change,724,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0171171594411134
breast-cancer-no-change,724,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,1.0360227078199389
breast-cancer-no-change,724,multirank,0.0,0.0,0.4847161572052402,0.4847161572052402,"[0, 458]","[0, 30, 31, 54, 55, 56, 171, 172, 189, 191, 207, 208, 209, 220, 222, 250, 251, 302, 303, 312, 313, 353, 354, 356, 360, 402, 403, 424, 425, 439, 440, 458]",30,0.5509616192430258
breast-cancer-no-change,724,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0569640733301639
abalone-no-change,724,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0305292233824729
abalone-no-change,724,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.032113866880536
abalone-no-change,724,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0498825721442699
abalone-no-change,724,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0490462277084589
abalone-no-change,724,ecp,1.0,0.0,0.0,0.0,"[0, 689]","[0.0, 689.0]",0,2.1909006237983704
abalone-no-change,724,multirank,0.0,0.0,0.4746008708272859,0.4746008708272859,"[0, 689]","[0, 13, 14, 32, 33, 117, 118, 189, 190, 218, 219, 235, 237, 238, 326, 327, 449, 454, 456, 457, 621, 622, 652, 653, 661, 676, 677, 678, 689]",27,1.070856548845768
abalone-no-change,724,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0863505341112613
dry-beans-no-change,724,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.1789235919713974
dry-beans-no-change,724,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.1810537483543157
dry-beans-no-change,724,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.7083186395466328
dry-beans-no-change,724,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.772197479382157
dry-beans-no-change,724,ecp,1.0,0.0,0.0,0.0,"[0, 3546]","[0.0, 3546.0]",0,77.50082976184785
dry-beans-no-change,724,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,1.7127351630479095
change_in_mean-no-change,724,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0111291762441396
change_in_mean-no-change,724,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.012385819107294
change_in_mean-no-change,724,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0038322191685438
change_in_mean-no-change,724,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0036779791116714
change_in_mean-no-change,724,ecp,1.0,0.0,0.0,0.0,"[0, 200]","[0.0, 200.0]",0,0.2177979256957769
change_in_mean-no-change,724,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1382041443139314
change_in_mean-no-change,724,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0365620013326406
change_in_covariance-no-change,724,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0116057619452476
change_in_covariance-no-change,724,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0126691255718469
change_in_covariance-no-change,724,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0056379158049821
change_in_covariance-no-change,724,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0039191674441099
change_in_covariance-no-change,724,ecp,1.0,0.0,0.0,0.0,"[0, 200]","[0.0, 200.0]",0,0.2011656612157821
change_in_covariance-no-change,724,multirank,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.1317390333861112
change_in_covariance-no-change,724,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,0.0371866952627897
dirichlet-no-change,724,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0224865693598985
dirichlet-no-change,724,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0212652366608381
dirichlet-no-change,724,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0024979747831821
dirichlet-no-change,724,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0025418568402528
dirichlet-no-change,724,ecp,1.0,0.0,0.0,0.0,"[0, 150]","[0.0, 150.0]",0,0.1244706436991691
dirichlet-no-change,724,multirank,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0848090834915638
dirichlet-no-change,724,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 150]","[0, 150]",0,0.0206969585269689
iris-no-change,724,change_in_mean_bs,0.0,0.0,0.32,0.32,"[0, 50]","[0, 5, 16, 48, 50]",3,3.319047391414642e-05
glass-no-change,724,change_in_mean_bs,0.0,0.0,0.4078947368421052,0.4078947368421052,"[0, 76]","[0, 3, 5, 45, 46, 49, 50, 52, 57, 59, 62, 70, 71, 74, 76]",13,5.02588227391243e-05
wine-no-change,724,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.0001349383965134
breast-cancer-no-change,724,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,4.2719766497612e-05
abalone-no-change,724,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,5.136895924806595e-05
dry-beans-no-change,724,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,0.0002069175243377
change_in_mean-no-change,724,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,3.4290365874767303e-05
change_in_covariance-no-change,724,change_in_mean_bs,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,2.8760172426700592e-05
dirichlet-no-change,724,change_in_mean_bs,0.0,0.0,0.4933333333333333,0.4933333333333333,"[0, 150]","[0, 2, 6, 8, 11, 13, 17, 19, 22, 24, 27, 31, 34, 36, 39, 43, 46, 49, 53, 56, 58, 61, 65, 68, 70, 74, 76, 78, 81, 84, 87, 91, 94, 97, 100, 102, 105, 109, 112, 114, 117, 120, 122, 124, 126, 128, 130, 132, 134, 138, 140, 143, 145, 147, 150]",53,0.0001231785863637
iris-no-change,724,decon,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,1.1495532505214214
iris-no-change,724,mnwbs_changepoints,0.0,0.0,0.12,0.12,"[0, 50]","[0, 6.0, 50]",1,15.550473656505346
glass-no-change,724,decon,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,1.3004471836611629
glass-no-change,724,mnwbs_changepoints,0.0,0.0,0.1842105263157894,0.1842105263157894,"[0, 76]","[0, 62.0, 76]",1,29.30986520461738
wine-no-change,724,decon,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,226.57085218839347
breast-cancer-no-change,724,decon,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,6.450300216674805
breast-cancer-no-change,724,mnwbs_changepoints,0.0,0.0,0.2379912663755458,0.2379912663755458,"[0, 458]","[0, 349.0, 360.0, 458]",2,1688.7902672337368
abalone-no-change,724,decon,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,11.55531684216112
dry-beans-no-change,724,decon,1.0,0.0,0.0,0.0,"[0, 3546]","[0, 3546]",0,354.301058457233
change_in_mean-no-change,724,decon,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,2.610725811682641
change_in_mean-no-change,724,mnwbs_changepoints,0.0,0.0,0.315,0.315,"[0, 200]","[0, 137.0, 188.0, 200]",2,172.06253622565418
change_in_covariance-no-change,724,decon,1.0,0.0,0.0,0.0,"[0, 200]","[0, 200]",0,2.538208942860365
