dataset,seed,method,score,left_hausdorff,right_hausdorff,symmetric_hausdorff,true_changepoints,estimated_changepoints,n_cpts,time
iris-no-change,2182,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0057427659630775
iris-no-change,2182,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0053858794271945
iris-no-change,2182,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0006562937051057
iris-no-change,2182,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.02,0.02,"[0, 50]","[0, 1, 50]",1,0.0009976997971534
iris-no-change,2182,ecp,1.0,0.0,0.0,0.0,"[0, 50]","[0.0, 50.0]",0,0.0374201629310846
iris-no-change,2182,multirank,0.0,0.0,0.22,0.22,"[0, 50]","[0, 11, 50]",1,0.0273940954357385
iris-no-change,2182,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 50]","[0, 50]",0,0.0027504656463861
glass-no-change,2182,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0129528287798166
glass-no-change,2182,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0092813614755868
glass-no-change,2182,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0012194383889436
glass-no-change,2182,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0007014237344264
glass-no-change,2182,ecp,1.0,0.0,0.0,0.0,"[0, 76]","[0.0, 76.0]",0,0.0498020369559526
glass-no-change,2182,multirank,0.0,0.0,0.0657894736842105,0.0657894736842105,"[0, 76]","[0, 71, 76]",1,0.0358048155903816
glass-no-change,2182,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 76]","[0, 76]",0,0.0056931171566247
wine-no-change,2182,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1215700581669807
wine-no-change,2182,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.1215452384203672
wine-no-change,2182,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,0.9914299696683884
wine-no-change,2182,changekNN_bs__model_selection_alpha=0.05,0.0,0.0,0.024330042313117,0.024330042313117,"[0, 2836]","[0, 40, 69, 2836]",2,1.027544504031539
wine-no-change,2182,ecp,1.0,0.0,0.0,0.0,"[0, 2836]","[0.0, 2836.0]",0,46.9690439645201
wine-no-change,2182,multirank,0.0,0.0,0.4531029619181946,0.4531029619181946,"[0, 2836]","[0, 18, 482, 483, 791, 813, 846, 861, 862, 1021, 1032, 1090, 1139, 1144, 1259, 1262, 1285, 1657, 1658, 1912, 1913, 1986, 2027, 2028, 2049, 2050, 2092, 2093, 2161, 2162, 2218, 2219, 2613, 2614, 2693, 2694, 2750, 2751, 2836]",37,15.1116810888052
wine-no-change,2182,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 2836]","[0, 2836]",0,1.029311791062355
breast-cancer-no-change,2182,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0259314682334661
breast-cancer-no-change,2182,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0422505959868431
breast-cancer-no-change,2182,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0155213456600904
breast-cancer-no-change,2182,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0152115765959024
breast-cancer-no-change,2182,ecp,1.0,0.0,0.0,0.0,"[0, 458]","[0.0, 458.0]",0,0.9607714880257844
breast-cancer-no-change,2182,multirank,0.0,0.0,0.4978165938864629,0.4978165938864629,"[0, 458]","[0, 18, 19, 36, 37, 38, 63, 66, 76, 77, 108, 112, 113, 114, 116, 138, 139, 140, 145, 146, 230, 231, 252, 253, 254, 255, 281, 282, 284, 303, 307, 458]",30,0.5167025756090879
breast-cancer-no-change,2182,kernseg_rbf,1.0,0.0,0.0,0.0,"[0, 458]","[0, 458]",0,0.0534541737288236
abalone-no-change,2182,changeforest_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0366859473288059
abalone-no-change,2182,changeforest_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0568599291145801
abalone-no-change,2182,changekNN_bs,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0468416716903448
abalone-no-change,2182,changekNN_bs__model_selection_alpha=0.05,1.0,0.0,0.0,0.0,"[0, 689]","[0, 689]",0,0.0466933045536279
